x,light
0,0.23069477081298828
1,0.23274517059326172
2,0.24552440643310547
3,0.25289154052734375
4,0.26526546478271484
5,0.2646217346191406
6,0.17039871215820312
7,0.2630958557128906
8,0.7686862945556641
9,0.9368906021118164
10,0.9047040939331055
11,0.9189615249633789
12,0.9175786972045898
13,0.8942375183105469
14,0.23818111419677734
15,0.9585390090942383
16,0.960780143737793
17,0.9646902084350586
18,0.9563455581665039
19,0.9589204788208008
20,0.9663114547729492
21,0.969172477722168
22,0.9582529067993164
23,0.9585390090942383
24,0.4797945022583008
25,0.3432760238647461
26,0.9647855758666992
27,0.30303096771240234
28,0.0
29,0.0
30,0.0
31,0.13773536682128906
32,0.39730167388916016
33,0.9591350555419922
34,0.9463796615600586
35,0.13322925567626953
36,0.35872554779052734
37,0.4168281555175781
38,0.46210384368896484
39,0.5322942733764648
40,0.46138858795166016
41,0.4320869445800781
42,0.4766712188720703
43,0.46639537811279297
44,0.4814634323120117
45,0.47745800018310547
46,0.47779178619384766
47,0.4771718978881836
48,0.46579933166503906
49,0.468994140625
50,0.4745492935180664
51,0.47240352630615234
52,0.47011470794677734
53,0.46939945220947266
54,0.46799278259277344
55,0.4652748107910156
56,0.46651458740234375
57,0.4638681411743164
58,0.46608543395996094
59,0.4757413864135742
60,0.47278499603271484
61,0.47583675384521484
62,0.4656562805175781
63,0.46897029876708984
64,0.46525096893310547
65,0.4737386703491211
66,0.4756937026977539
67,0.4633197784423828
68,0.4666576385498047
69,0.4726896286010742
70,0.47440624237060547
71,0.4595527648925781
72,0.46863651275634766
73,0.4695901870727539
74,0.46944713592529297
75,0.46990013122558594
76,0.47621822357177734
77,0.469757080078125
78,0.47202205657958984
79,0.47052001953125
80,0.47066307067871094
81,0.46405887603759766
82,0.4710206985473633
83,0.46999549865722656
84,0.4678020477294922
85,0.4660377502441406
86,0.4535207748413086
87,0.4591712951660156
88,0.45921897888183594
89,0.4706392288208008
90,0.4607686996459961
91,0.4554758071899414
92,0.46379661560058594
93,0.4631052017211914
94,0.4641304016113281
95,0.4751453399658203
96,0.47338104248046875
97,0.46787357330322266
98,0.4742870330810547
99,0.4584798812866211
100,0.45790767669677734
101,0.46024417877197266
102,0.45871829986572266
103,0.4564056396484375
104,0.4556903839111328
105,0.4597434997558594
106,0.4684457778930664
107,0.4600534439086914
108,0.46401119232177734
109,0.4554281234741211
110,0.4545459747314453
111,0.45807456970214844
112,0.46074485778808594
113,0.4546651840209961
114,0.4516611099243164
115,0.4562864303588867
116,0.45414066314697266
117,0.46892261505126953
118,0.4591712951660156
119,0.4614601135253906
120,0.4677543640136719
121,0.4681835174560547
122,0.47028160095214844
123,0.45714473724365234
124,0.4586467742919922
125,0.46749210357666016
126,0.4718313217163086
127,0.4612693786621094
128,0.46951866149902344
129,0.4687080383300781
130,0.46761131286621094
131,0.46982860565185547
132,0.4590282440185547
133,0.46095943450927734
134,0.4601249694824219
135,0.46112632751464844
136,0.4570493698120117
137,0.4584798812866211
138,0.45511817932128906
139,0.46646690368652344
140,0.46892261505126953
141,0.45435523986816406
142,0.47164058685302734
143,0.47028160095214844
144,0.4716644287109375
145,0.4649648666381836
146,0.45831298828125
147,0.46379661560058594
148,0.468231201171875
149,0.46591854095458984
150,0.4698762893676758
151,0.4553804397583008
152,0.4533538818359375
153,0.45290088653564453
154,0.4639158248901367
155,0.4521617889404297
156,0.4550466537475586
157,0.4577169418334961
158,0.4550466537475586
159,0.46193695068359375
160,0.44610595703125
161,0.44608211517333984
162,0.44891929626464844
163,0.46024417877197266
164,0.4539499282836914
165,0.45685863494873047
166,0.45404529571533203
167,0.4547843933105469
168,0.4560718536376953
169,0.44460391998291016
170,0.4423866271972656
171,0.44465160369873047
172,0.44171905517578125
173,0.44519996643066406
174,0.4423389434814453
175,0.45359230041503906
176,0.4496345520019531
177,0.4477510452270508
178,0.4517326354980469
179,0.4418621063232422
180,0.4386434555053711
181,0.44918155670166016
182,0.4498014450073242
183,0.4421720504760742
184,0.4421243667602539
185,0.4546651840209961
186,0.4547843933105469
187,0.4533061981201172
188,0.44400787353515625
189,0.44205284118652344
190,0.4397878646850586
191,0.4454383850097656
192,0.4446277618408203
193,0.4542121887207031
194,0.45068359375
195,0.45647716522216797
196,0.4501829147338867
197,0.44345951080322266
198,0.44336414337158203
199,0.4507789611816406
200,0.4514942169189453
201,0.44922924041748047
202,0.44078922271728516
203,0.43947792053222656
204,0.44303035736083984
205,0.44117069244384766
206,0.4412422180175781
207,0.4366884231567383
208,0.4509696960449219
209,0.4518280029296875
210,0.44808483123779297
211,0.44198131561279297
212,0.4521141052246094
213,0.4487762451171875
214,0.4456291198730469
215,0.45180416107177734
216,0.4401216506958008
217,0.4483470916748047
218,0.45206642150878906
219,0.4441509246826172
220,0.4480609893798828
221,0.43294525146484375
222,0.4328498840332031
223,0.4458913803100586
224,0.44794178009033203
225,0.44689273834228516
226,0.4458198547363281
227,0.44427013397216797
228,0.4442939758300781
229,0.44460391998291016
230,0.43184852600097656
231,0.4340658187866211
232,0.4249105453491211
233,0.42772388458251953
234,0.44000244140625
235,0.42128658294677734
236,0.42061901092529297
237,0.4336128234863281
238,0.4357585906982422
239,0.4287252426147461
240,0.4309425354003906
241,0.425506591796875
242,0.42603111267089844
243,0.4256734848022461
244,0.42700862884521484
245,0.4365215301513672
246,0.43044185638427734
247,0.4336843490600586
248,0.4355201721191406
249,0.42684173583984375
